"AUTOR","EDITORIAL","AÑO","OBSERVAC","TÍTULO","Id"
"José Luis Cano","Plaza Janés","1970","2ª ed.","Poesía 1942-1962","142"
"Ricardo Arias y Arias","Gredos","1970","","La poesía de los Goliardos","143"
"Félix Mª Samaniego","Siro S. A.","1976","","El Jardín de Venus","146"
"Rafael Velasco","Salamanca","1961","","Versos para un libro nuevo","147"
"Hidalgo, Celaya, Otero y J. Hierro","Taurus","1960","","Cuatro poetas de hoy","149"
"San Juan de la Cruz","Taurus","1983","Dedicado","Poesía Edic. de José J. Lozano","151"
"Ana Rossetti","Prometeo","1980","2ª ed.","Los devaneos de Erato","152"
"J. Gª Sánchez y M. R. Barnatán","C. Lectores","1975","","Poesía Erótica Castellana","153"
"Ed. De José Mª Díez Borque","Castalia","1977","","Poesía erótica (siglos XVI-XX)","155"
"Garcilaso de la Vega","Castalia","1969","","Poesías castellanas completas","156"
"Nicasio Alvarez de Cienfuegos","Castalia","1968","","Poesías","157"
"Rafael Alberti","Castalia","1972","","Marinero en tierra La amante...","158"
"M. R. Barnatán y J. García","Júcar","1974","","Poesía erótica castellana","160"
"Florilegium","Espasa Calpe","1982","","Poesía última española","161"
"Carlos Bousoño","Espasa Calpe","1962","","Invasión de la realidad","162"
"José Jurado Morales","Peñíscola","1962","","Sombras anilladas","163"
"Clásicos Ebro","Ebro, S. A.","1957","6ª ed. Ilust.","Romances Viejos","165"
"Antonio García Pericás","Ebro poesía","1965","","Burgos Prisión Central","166"
"Carlos Edmundo de Ory","Cátedra","1978","","Metanoia","167"
"Claudio Rodríguez","Cátedra","1983","","Desde mis poemas","168"
"Vicente Gaos","Giner","1959","","Poesías Completas","173"
"Carlos Bousoño","Giner","1960","","Poesías Completas","175"
"José María Valverde","Giner","1961","","Poesías Reunidas","176"
"Fernando Gutiérrez","José Janés","1951","","Anteo e Isolda","177"
"José Angel Valente","La Gaya Cª.","1981","","Tres lecciones de tinieblas","178"
"Elena Martín Vivaldi","Ínsula","1953","","El alma desvelada","181"
"Antología Caballo de Fuego","Caballo Fuego","1952","","La poesía del  s. XX en América y España","182"
"Pedro Miguel Obligado","Columba","1957","","Qué es el verso","185"
"Carlos Bousoño","Gredos","1977","","El irracionalismo poético","186"
"Antonio Colinas","F.C.E.","1989","","El sentido primero de la palabra poética","187"
"T. Navarro Tomás","Cía. Gral. Edit.","1959","","Arte del verso","188"
"Jorge Guillén","R. Occidente","1962","","Lenguaje y poesía","192"
"Rafael Lapesa Melgar","Anaya","1964","","Introducción a los estudios literarios","200"
"Luis Cernuda","Seix Barral","1960","","Poesía y literatura","208"
"Luis Rosales","Salvat","1971","Libro TV","Poesía española del siglo de oro","209"
"Fray Luis de León","El Sol","1991","","Poesía","225"
"Garcilaso de la Vega","El Sol","1991","","Poesía Castellana","226"
"Gabriel Celaya","El Sol","1991","","Antología poética","227"
"Lope de Vega","El Sol","1991","","El caballero de Olmedo","229"
"Francisco de Quevedo","El Sol","1992","","Poesía lírica","230"
"Jorge Manrique","El Sol","1992","","Coplas","231"
"","","","","","232"
"","","","","","234"
"Inmanuel Swedenborg","Miraguano","1988","","De planetas y ángeles (Antología)","236"
"Odysseas Elytis","Plaza Janés","1980","","Dignum est","238"
"Saint John Perse","Fabril editora","1960","","Antología poética","239"
"Michaux","Fabril editora","1959","","Poemas","240"
"Rimbaud","Fabril editora","1959","","Una temporada en el infierno","241"
"Milosz","Fabril editora","1959","","Antología Poética","242"
"Mao Tse-Tung","Mateu, S. A.","1970","","Poemas","243"
"IBN AL-ZAQQAQ","I.  Hisp. Arabe","1956","Bilingüe","Poesías","247"
"Federico Lara Peinado","Tecnos","1988","","Poema de Gilgamesh","250"
"Miguel A. Buonarroti","Cátedra","1987","Bilingüe","Sonetos completos Ed. L. A. de Villena","251"
"Cátulo","Alianza","1988","","Poesías","252"
"Jorge Luis Borges","Alianza","1972","","Obra poética","253"
"Lewis Carroll","Tusquets","1975","","Matemática demente Selección L. Panero","254"
"Pierre de Ronsard","Bruguera","1982","Bilingüe","Sonetos para Elena","255"
"Paul Gauguin y Charles Morice","Malinca P.","1942","","Noa Noa (La isla feliz)","256"
"Poetas alemanes","Cervantes","1956","","Hölderlin Novalis E. Mörike","259"
"Poetas franceses","Cervantes","1956","","Chenier Baudelaire Fort Samain","260"
"Dr. I. Millás Vallicrosa","José Janés","1953","","La poesía hebráica postbíblica","261"
"Mª Dolores Arroyo","José Janés","1953","","Kalevala","262"
"M. Manent","José Janés","1952","","La poesía irlandesa","264"
"M. Manent","José Janés","1948","Bilingüe","La poesía inglesa. Los contemporáneos","265"
"E. L. Revol","Fausto","1974","","Poesía inglesa contemporánea","266"
"Eduardo de Ory","M. Aguilar","1936","","Antología de poesía mexicana","267"
"Marcela de Juan","R. Occidente","1962","","Segunda antología de la poesía china","268"
"Alfredo Tapia Gómez","Freeland","1969","","1ª Antología de la poesía sexual latinoamericana","271"
"Alberto Girri","Monte Avila","1969","","Cos. y dis. Ant. Poesía norteamericana actual","272"
"Juan Ferrate","Seix Barral","1968","Bilingüe","Líricos griegos arcáicos. Antología","274"
"Clásicos inolvidables","El Ateneo","1954","","Bucólicos y líricos griegos","275"
"M. Teresa León y Rafael Alberti","Fabril","1960","","Poesía china","277"
"Mª Victoria Cortés","Taurus","1959","","Poesía hispano-americana Antología","279"
"Rainer María Rilke","Nascimento","1953","2ª ed. Bilingüe","Poesías","281"
"J. M. Ibáñez Langlois","Rialp","1978","","Rilke, Pound, Neruda","282"
"Rainer M. Rilke","Agora","1957","","Cincuenta poesías","283"
"Pablo Neruda","Losada, S. A.","1962","","Plenos poderes","284"
"Rafael Guillén","Veleta al sur","1961","2ª ed.","Pronuncio amor","285"
"T. S. Eliot","Sur","1959","","Sobre la poesía y los poetas","286"
"Vicente Fatone","Emecé","1954","","Filosofía y poesía","287"
"Manuela Amaral","Gráf. Sintrense","1965","Portugués","A cruz de Pan Poemas Dedicado","288"
"Manuela Amaral","Gráf. Sintrense","1961","Portugués","Fe pagá Poemas","290"
"Lawrence Durrell","Sudamericana","1964","","Safo","293"
"Safo","Aguilar","1963","","Antología","295"
"Gabriela Mistral","Losada, S. A.","1953","2ª ed.","Tala poemas","296"
"André Gide","Schapire","1954","","Los cuadernos y las  poesías de André Walter","298"
"Saint Yohn Perse","La Isla de los R.","1960","","Destierro Versión castellana por L. R. A.","299"
"Rainer María Rilke","Dintel","1959","","La princesa blanca y la ciega","300"
"Rilke","Perlado","1956","","Obra poética","301"
"Gabriel de la C. Valdés (Plácido)","Franco Iberoam.","","","Musa cubana","305"
"Fernando Pessoa","Mº Cultura","1980","","Poesía Ilustrada","314"
"Fernando Pessoa","Alianza","1983","","Poesía","316"
"Fernando Pessoa","Espasa Calpe","1982","","El poeta es un fingidor Antología poética","317"
"Pablo Neruda","Losada, S. A.","1960","","Cien sonetos de amor","320"
"G. Appolinaire","Assandri","1958","","Alcoholes","321"
"Odiseo Elytis","Pomaire","1981","","Antología fundamental","326"
"Jaroslav Seifert","Hiperion","1984","","Breve antología","378"
"Varios Autores","Los sitios","1963","","Poemas Zaragoza -6-","9"
"Rubén Darío","Afrod. Aguado","1951","3ª ed.","Rimas y abrojos","89"
"Jorge Guillén","Sudamericana","1960","","...Que van a dar a la mar","101"
