"AUTOR","EDITORIAL","AÑO","OBSERVAC","TÍTULO","Id"
"Amalia Puga","Cervantes","","","Las mejores poesías de los mejores poetas L","81"
"María Monvel","Cervantes","","","Las mejores poesías de los mejores poetas LI","82"
"Alicia Lardé de Venturino","Cervantes","","","Las mejores poesías de los mejores poetas LIII","83"
"RODENBACH","Cervantes","1930","","Las mejores poesías de los mejores poetas LVII","84"
"Juan Guzmán Cruchaga","Cervantes","1932","","Las mejores poesías de los mejores poetas LX","85"
"Apollinaire","J. Mortiz","1967","","Poesía","306"
"Rainer M Rilke L. A. Salomé","Hesperus","1989","Numerado","Correspondencia","304"
"Fernando Maristany","Ed. Cervantes","1919","","Las cien mejores poesías líricas de la lengua alemana","312"
"IX Centenario de Aben Hazam","Ayto. Córdoba","1963","","Crónica de la fiesta mundial de la poesía árabe","318"
"Angel González","Cátedra","1980","","Poemas","169"
"Agustín Haro y Tamariz","T. G. La nación","1947","","Rubaiyat de Omar KHALYAM","319"
"J. Ramón Jiménez","Aguilar","1959","","Primeros libros de poesía","203"
"J. Ramón Jiménez","Aguilar","1957","","Libros de poesía","204"
"Sáinz de Robles","Aguilar","1955","3ª ed. Piel","Poesía española Del s. XII al XX","206"
"Saint-John Perse","Lumen","1988","Biling. Intonso","Poemas","329"
"Saint-John Perse","Sur","1961","Bilingüe","Señales de mar","333"
"Vladimiro Maiacovski","Platina","1958","","Obras escogidas Tomo IV","356"
"Herbert Read","Nueva Visión","1961","2ª ed.","Forma y poesía moderna","343"
"Salvatore Quasimodo","Narcea, S. A.","1974","Bilingüe","Debe y haber","358"
"Georg Trakl","Al-Borak SA Eds.","1972","","Cantos de muerte","379"
"William Blake","Río nuevo","1980","Bilingüe","Poesía completa T. I y II","380"
"Colegio Español de Roma","Cº Esp. Roma","1955","","Estría nº 7","31"
"Manuela Amaral","Gráf. Sintrense","1963","Portugués","A hisporia duna noite Poemas Dedicado","289"
"José A. Pérez- Rioja","Tecnos","1988","","La creación literaria","199"
"Ezra Pound","Monte Avila","1989","","Ensayos literarios","342"
"Stefan George","Assandri","1959","","Poemas","323"
"Federico Hölderlin","Assandri","1955","","Poemas","324"
"F. de Quevedo Villegas","Aguilar","1952","Piel","Obras completas Verso T. I y II","205"
"Vladimiro Maiacovski","Platina","1958","","Obras escogidas III Teatro cine circo","355"
"Gaspar Moisés Gómez","Junta Cª y León","1986","","Al filo del cuerpo","220"
"Luis Miguel Rabanal","Junta Cª y León","1986","","La memoria buscando sus disfraces","222"
"Luis Federico Martínez","Junta Cª y León","1986","","Textos de Melibea","223"
"Miguel Suárez","Junta Cª y León","1986","","De entrada","224"
"Arthur Rimbaud","Río Nuevo","1972","Bilingüe","Obras completas Prosa y verso","235"
"","","","","           P  O  E  S  I  A     E  X  T  R  A  N  J  E  R  A","233"
